COUNTRY,YEAR,MONTH,TEMP_MEAN,HEAT_DAYS
Belgium,2000,1,5.281612903225804,2.0
Belgium,2000,2,8.422413793103448,0.0
Belgium,2000,3,10.112258064516128,2.0
Belgium,2000,4,14.075999999999997,4.0
Belgium,2000,5,18.717419354838714,6.0
Belgium,2000,6,20.826999999999998,3.0
Belgium,2000,7,19.336451612903225,0.0
Belgium,2000,8,22.593870967741932,0.0
Belgium,2000,9,19.70633333333334,2.0
Belgium,2000,10,14.20225806451613,0.0
Belgium,2000,11,9.384666666666668,0.0
Belgium,2000,12,6.6248387096774195,11.0
Belgium,2001,1,4.769354838709678,0.0
Belgium,2001,2,6.841785714285715,5.0
Belgium,2001,3,9.189677419354839,0.0
Belgium,2001,4,11.220333333333333,0.0
Belgium,2001,5,18.77709677419355,4.0
Belgium,2001,6,19.099999999999998,0.0
Belgium,2001,7,22.580322580645163,0.0
Belgium,2001,8,22.926451612903218,6.0
Belgium,2001,9,16.431666666666665,0.0
Belgium,2001,10,17.267419354838708,4.0
Belgium,2001,11,8.786,0.0
Belgium,2001,12,4.103548387096774,2.0
Belgium,2002,1,5.250645161290323,5.0
Belgium,2002,2,8.977857142857143,5.0
Belgium,2002,3,10.829032258064515,0.0
Belgium,2002,4,13.71233333333333,0.0
Belgium,2002,5,17.13903225806452,2.0
Belgium,2002,6,21.095000000000002,2.0
Belgium,2002,7,21.82967741935484,3.0
Belgium,2002,8,22.484516129032258,4.0
Belgium,2002,9,18.814333333333327,0.0
Belgium,2002,10,14.090645161290322,0.0
Belgium,2002,11,10.602666666666666,3.0
Belgium,2002,12,5.664193548387096,4.0
Belgium,2003,1,3.9812903225806444,2.0
Belgium,2003,2,5.4125,2.0
Belgium,2003,3,12.39709677419355,8.0
Belgium,2003,4,14.320000000000002,6.0
Belgium,2003,5,17.513548387096776,3.0
Belgium,2003,6,23.226000000000003,0.0
Belgium,2003,7,23.088064516129037,2.0
Belgium,2003,8,24.726451612903226,11.0
Belgium,2003,9,20.273666666666667,7.0
Belgium,2003,10,12.089354838709676,0.0
Belgium,2003,11,10.422333333333333,2.0
Belgium,2003,12,5.716451612903226,0.0
Belgium,2004,1,4.901935483870967,0.0
Belgium,2004,2,7.051379310344827,6.0
Belgium,2004,3,9.544838709677418,5.0
Belgium,2004,4,14.41233333333333,2.0
Belgium,2004,5,17.051935483870967,0.0
Belgium,2004,6,20.175000000000004,2.0
Belgium,2004,7,21.49161290322581,0.0
Belgium,2004,8,22.643870967741936,2.0
Belgium,2004,9,19.984333333333332,7.0
Belgium,2004,10,15.318387096774192,0.0
Belgium,2004,11,8.73033333333333,0.0
Belgium,2004,12,4.5680645161290325,0.0
Belgium,2005,1,6.4309677419354845,2.0
Belgium,2005,2,4.725714285714285,0.0
Belgium,2005,3,10.341935483870971,9.0
Belgium,2005,4,14.107666666666667,0.0
Belgium,2005,5,17.386451612903226,3.0
Belgium,2005,6,22.131999999999994,10.0
Belgium,2005,7,22.336774193548386,0.0
Belgium,2005,8,21.11064516129032,0.0
Belgium,2005,9,20.892,8.0
Belgium,2005,10,18.33161290322581,12.0
Belgium,2005,11,8.464333333333336,6.0
Belgium,2005,12,5.06741935483871,0.0
Belgium,2006,1,3.2916129032258064,0.0
Belgium,2006,2,4.415357142857142,0.0
Belgium,2006,3,8.041935483870969,2.0
Belgium,2006,4,13.251333333333333,2.0
Belgium,2006,5,17.99193548387097,0.0
Belgium,2006,6,21.324999999999996,4.0
Belgium,2006,7,27.129677419354838,16.0
Belgium,2006,8,19.943870967741933,0.0
Belgium,2006,9,22.64133333333333,11.0
Belgium,2006,10,17.467741935483875,3.0
Belgium,2006,11,11.552999999999999,4.0
Belgium,2006,12,6.897419354838711,3.0
Belgium,2007,1,8.343548387096773,10.0
Belgium,2007,2,8.92607142857143,2.0
Belgium,2007,3,11.24516129032258,3.0
Belgium,2007,4,19.052666666666667,14.0
Belgium,2007,5,18.692903225806457,2.0
Belgium,2007,6,21.047999999999995,0.0
Belgium,2007,7,20.843870967741935,0.0
Belgium,2007,8,21.080000000000002,0.0
Belgium,2007,9,18.324999999999996,0.0
Belgium,2007,10,14.413870967741936,0.0
Belgium,2007,11,8.885,3.0
Belgium,2007,12,5.435806451612902,3.0
Belgium,2008,1,7.448709677419355,3.0
Belgium,2008,2,8.934137931034481,4.0
Belgium,2008,3,8.836451612903224,0.0
Belgium,2008,4,12.56666666666667,2.0
Belgium,2008,5,20.275483870967744,6.0
Belgium,2008,6,20.440333333333335,0.0
Belgium,2008,7,21.656774193548387,0.0
Belgium,2008,8,21.37161290322581,0.0
Belgium,2008,9,17.82833333333333,0.0
Belgium,2008,10,13.764516129032257,2.0
Belgium,2008,11,8.825666666666669,0.0
Belgium,2008,12,4.038709677419355,0.0
Belgium,2009,1,2.1638709677419348,0.0
Belgium,2009,2,5.09857142857143,0.0
Belgium,2009,3,10.240967741935485,0.0
Belgium,2009,4,16.39533333333333,2.0
Belgium,2009,5,18.360000000000003,2.0
Belgium,2009,6,20.25366666666667,2.0
Belgium,2009,7,22.080967741935485,0.0
Belgium,2009,8,23.557096774193543,2.0
Belgium,2009,9,20.212333333333337,2.0
Belgium,2009,10,14.886451612903226,0.0
Belgium,2009,11,11.324666666666669,4.0
Belgium,2009,12,3.6864516129032263,0.0
Belgium,2010,1,0.9370967741935482,0.0
Belgium,2010,2,4.236071428571429,0.0
Belgium,2010,3,9.69483870967742,4.0
Belgium,2010,4,14.575666666666669,5.0
Belgium,2010,5,15.466774193548387,2.0
Belgium,2010,6,21.288666666666664,3.0
Belgium,2010,7,24.213225806451614,6.0
Belgium,2010,8,20.896774193548385,0.0
Belgium,2010,9,18.306,0.0
Belgium,2010,10,14.480967741935487,7.0
Belgium,2010,11,8.299333333333333,3.0
Belgium,2010,12,-0.04838709677419354,0.0
Belgium,2011,1,4.836774193548388,2.0
Belgium,2011,2,7.25285714285714,0.0
Belgium,2011,3,11.527419354838708,4.0
Belgium,2011,4,18.22833333333333,13.0
Belgium,2011,5,18.876774193548385,2.0
Belgium,2011,6,20.694000000000003,3.0
Belgium,2011,7,20.094838709677422,0.0
Belgium,2011,8,21.653225806451612,0.0
Belgium,2011,9,20.929,5.0
Belgium,2011,10,16.086774193548386,5.0
Belgium,2011,11,11.712333333333333,8.0
Belgium,2011,12,7.612258064516133,0.0
Belgium,2012,1,6.886774193548385,3.0
Belgium,2012,2,3.3934482758620694,0.0
Belgium,2012,3,13.05258064516129,11.0
Belgium,2012,4,12.021666666666668,0.0
Belgium,2012,5,18.704193548387096,7.0
Belgium,2012,6,19.460333333333335,0.0
Belgium,2012,7,21.202903225806455,2.0
Belgium,2012,8,23.05806451612904,2.0
Belgium,2012,9,18.890666666666664,3.0
Belgium,2012,10,14.362580645161291,2.0
Belgium,2012,11,8.828,0.0
Belgium,2012,12,6.065806451612904,3.0
Belgium,2013,1,3.6448387096774195,2.0
Belgium,2013,2,3.5078571428571417,0.0
Belgium,2013,3,6.020000000000002,0.0
Belgium,2013,4,12.539666666666665,2.0
Belgium,2013,5,15.029677419354835,0.0
Belgium,2013,6,19.78533333333333,0.0
Belgium,2013,7,24.243548387096773,3.0
Belgium,2013,8,22.647741935483868,2.0
Belgium,2013,9,19.198666666666668,4.0
Belgium,2013,10,16.004516129032258,2.0
Belgium,2013,11,8.41,0.0
Belgium,2013,12,7.0683870967741935,0.0
Belgium,2014,1,7.0935483870967735,4.0
Belgium,2014,2,8.345714285714287,2.0
Belgium,2014,3,13.123870967741933,12.0
Belgium,2014,4,16.517999999999997,5.0
Belgium,2014,5,17.551935483870967,2.0
Belgium,2014,6,20.75466666666667,0.0
Belgium,2014,7,23.41806451612903,3.0
Belgium,2014,8,19.787419354838704,0.0
Belgium,2014,9,20.726333333333333,0.0
Belgium,2014,10,16.702903225806455,6.0
Belgium,2014,11,10.697333333333336,2.0
Belgium,2014,12,5.562580645161291,2.0
Belgium,2015,1,4.925483870967741,2.0
Belgium,2015,2,5.805714285714286,0.0
Belgium,2015,3,10.31225806451613,0.0
Belgium,2015,4,14.451,2.0
Belgium,2015,5,16.994193548387095,0.0
Belgium,2015,6,20.693666666666672,0.0
Belgium,2015,7,22.841935483870973,4.0
Belgium,2015,8,23.547741935483867,0.0
Belgium,2015,9,17.79933333333333,0.0
Belgium,2015,10,13.885806451612902,0.0
Belgium,2015,11,12.034999999999998,8.0
Belgium,2015,12,9.931612903225808,13.0
Belgium,2016,1,6.067096774193548,0.0
Belgium,2016,2,6.9110344827586205,0.0
Belgium,2016,3,9.006129032258064,0.0
Belgium,2016,4,12.544000000000004,0.0
Belgium,2016,5,18.393870967741933,0.0
Belgium,2016,6,20.53966666666667,2.0
Belgium,2016,7,22.469677419354838,2.0
Belgium,2016,8,22.681612903225805,5.0
Belgium,2016,9,22.045000000000005,7.0
Belgium,2016,10,14.11741935483871,0.0
Belgium,2016,11,8.398,0.0
Belgium,2016,12,5.813548387096773,0.0
Belgium,2017,1,2.7709677419354835,0.0
Belgium,2017,2,8.186071428571427,3.0
Belgium,2017,3,13.077096774193548,7.0
Belgium,2017,4,13.333666666666668,0.0
Belgium,2017,5,19.72064516129032,6.0
Belgium,2017,6,23.232666666666667,5.0
Belgium,2017,7,23.059354838709677,0.0
Belgium,2017,8,22.64451612903226,2.0
Belgium,2017,9,18.521,0.0
Belgium,2017,10,16.838709677419356,6.0
Belgium,2017,11,9.285333333333332,2.0
Belgium,2017,12,5.928064516129032,2.0
Belgium,2018,1,7.745806451612903,6.0
Belgium,2018,2,3.9074999999999993,0.0
Belgium,2018,3,8.597741935483871,0.0
Belgium,2018,4,17.21633333333333,8.0
Belgium,2018,5,21.09774193548387,9.0
Belgium,2018,6,22.417666666666666,3.0
Belgium,2018,7,26.678709677419356,7.0
Belgium,2018,8,24.600645161290327,7.0
Belgium,2018,9,20.806000000000004,6.0
Belgium,2018,10,17.160322580645154,12.0
Belgium,2018,11,10.059333333333333,2.0
Belgium,2018,12,7.48967741935484,8.0
Belgium,2019,1,4.888709677419355,0.0
Belgium,2019,2,10.552142857142856,14.0
Belgium,2019,3,12.026129032258064,4.0
Belgium,2019,4,15.809333333333331,7.0
Belgium,2019,5,16.742903225806447,0.0
Belgium,2019,6,23.494000000000007,12.0
Belgium,2019,7,24.98322580645161,5.0
Belgium,2019,8,24.638064516129027,4.0
Belgium,2019,9,20.708000000000002,2.0
Belgium,2019,10,15.597741935483871,2.0
Belgium,2019,11,8.97733333333333,0.0
Belgium,2019,12,7.5858064516129025,2.0
Belgium,2020,1,7.4825806451612875,6.0
Belgium,2020,2,9.814137931034484,7.0
Belgium,2020,3,10.79225806451613,2.0
Belgium,2020,4,17.78633333333333,15.0
Belgium,2020,5,18.816129032258065,0.0
Belgium,2020,6,21.58433333333333,4.0
Belgium,2020,7,22.68870967741935,2.0
Belgium,2020,8,26.25290322580645,11.0
Belgium,2020,9,22.277333333333335,9.0
Belgium,2020,10,14.422580645161293,0.0
Belgium,2020,11,11.864333333333333,9.0
Belgium,2020,12,6.701612903225806,3.0
Belgium,2021,1,4.847096774193548,2.0
Belgium,2021,2,7.542500000000001,6.0
Belgium,2021,3,11.071612903225807,5.0
Belgium,2021,4,11.518666666666665,0.0
Belgium,2021,5,-277.15857142857146,0.0
France,2000,1,5.5693548387096765,0.0
France,2000,2,9.666551724137932,0.0
France,2000,3,11.894838709677419,0.0
France,2000,4,14.17666666666667,0.0
France,2000,5,19.408387096774184,3.0
France,2000,6,22.18566666666666,2.0
France,2000,7,21.044193548387092,0.0
France,2000,8,24.276451612903223,0.0
France,2000,9,21.07566666666667,2.0
France,2000,10,14.756774193548388,0.0
France,2000,11,10.073333333333332,0.0
France,2000,12,8.464838709677418,8.0
France,2001,1,6.5038709677419355,0.0
France,2001,2,8.0925,2.0
France,2001,3,11.639032258064512,0.0
France,2001,4,12.524666666666665,0.0
France,2001,5,19.640000000000004,3.0
France,2001,6,20.933666666666667,3.0
France,2001,7,23.495806451612914,0.0
France,2001,8,24.303870967741936,2.0
France,2001,9,17.878333333333334,0.0
France,2001,10,18.537419354838708,2.0
France,2001,11,9.012666666666664,0.0
France,2001,12,4.719354838709679,2.0
France,2002,1,6.9154838709677415,5.0
France,2002,2,10.099642857142857,5.0
France,2002,3,12.902258064516124,0.0
France,2002,4,15.466000000000001,2.0
France,2002,5,17.792258064516123,2.0
France,2002,6,22.35733333333333,3.0
France,2002,7,22.881612903225804,2.0
France,2002,8,23.135483870967736,2.0
France,2002,9,20.16066666666666,0.0
France,2002,10,16.24774193548387,0.0
France,2002,11,11.416999999999998,2.0
France,2002,12,7.9961290322580645,8.0
France,2003,1,4.81741935483871,2.0
France,2003,2,6.558571428571428,0.0
France,2003,3,14.173548387096778,7.0
France,2003,4,15.765666666666666,6.0
France,2003,5,18.623225806451615,3.0
France,2003,6,24.93666666666667,0.0
France,2003,7,25.515161290322578,2.0
France,2003,8,29.660967741935483,12.0
France,2003,9,22.60833333333333,6.0
France,2003,10,13.734838709677422,0.0
France,2003,11,11.439333333333332,0.0
France,2003,12,6.603548387096774,0.0
France,2004,1,6.49,3.0
France,2004,2,8.318275862068965,4.0
France,2004,3,10.855806451612905,2.0
France,2004,4,14.990000000000002,0.0
France,2004,5,18.41838709677419,4.0
France,2004,6,23.27433333333333,3.0
France,2004,7,24.461935483870974,3.0
France,2004,8,24.885483870967747,3.0
France,2004,9,23.031000000000002,9.0
France,2004,10,16.385806451612904,0.0
France,2004,11,9.968999999999998,0.0
France,2004,12,5.3670967741935485,0.0
France,2005,1,6.812258064516129,0.0
France,2005,2,5.7664285714285715,0.0
France,2005,3,11.520967741935488,6.0
France,2005,4,15.541,3.0
France,2005,5,18.815806451612907,4.0
France,2005,6,24.210666666666665,12.0
France,2005,7,24.77064516129033,2.0
France,2005,8,24.054516129032258,2.0
France,2005,9,22.473000000000003,7.0
France,2005,10,19.782580645161293,11.0
France,2005,11,9.240666666666668,5.0
France,2005,12,5.300645161290324,0.0
France,2006,1,4.695806451612902,0.0
France,2006,2,5.635714285714285,0.0
France,2006,3,9.62709677419355,2.0
France,2006,4,15.089000000000002,0.0
France,2006,5,18.71548387096774,0.0
France,2006,6,23.737666666666662,4.0
France,2006,7,29.24225806451613,15.0
France,2006,8,21.867419354838706,0.0
France,2006,9,24.053333333333335,8.0
France,2006,10,18.550645161290323,0.0
France,2006,11,12.304666666666666,3.0
France,2006,12,7.133548387096774,2.0
France,2007,1,9.154516129032258,9.0
France,2007,2,10.872857142857141,2.0
France,2007,3,11.698709677419354,2.0
France,2007,4,20.327333333333332,14.0
France,2007,5,19.612903225806452,2.0
France,2007,6,21.896333333333335,0.0
France,2007,7,22.291612903225808,0.0
France,2007,8,22.304193548387097,0.0
France,2007,9,19.923333333333332,0.0
France,2007,10,15.577419354838712,0.0
France,2007,11,9.518333333333334,0.0
France,2007,12,5.878387096774193,3.0
France,2008,1,7.975806451612903,3.0
France,2008,2,10.08137931034483,4.0
France,2008,3,10.143870967741934,0.0
France,2008,4,13.510666666666664,2.0
France,2008,5,20.633548387096774,0.0
France,2008,6,21.433333333333334,0.0
France,2008,7,23.45645161290323,0.0
France,2008,8,23.438064516129035,0.0
France,2008,9,19.355000000000004,0.0
France,2008,10,15.156774193548381,0.0
France,2008,11,9.968,2.0
France,2008,12,4.425483870967742,0.0
France,2009,1,3.1212903225806463,0.0
France,2009,2,6.706428571428573,0.0
France,2009,3,11.668064516129034,0.0
France,2009,4,16.735,0.0
France,2009,5,19.48483870967742,2.0
France,2009,6,21.53933333333333,2.0
France,2009,7,23.997741935483873,0.0
France,2009,8,26.4316129032258,4.0
France,2009,9,21.871666666666666,3.0
France,2009,10,16.62258064516129,3.0
France,2009,11,11.875666666666667,2.0
France,2009,12,5.124838709677419,2.0
France,2010,1,2.051612903225806,0.0
France,2010,2,6.058214285714286,0.0
France,2010,3,11.064838709677419,2.0
France,2010,4,16.14333333333333,4.0
France,2010,5,17.32483870967742,3.0
France,2010,6,22.690333333333335,5.0
France,2010,7,25.805806451612906,4.0
France,2010,8,23.054516129032255,0.0
France,2010,9,20.349,0.0
France,2010,10,15.776451612903232,3.0
France,2010,11,8.98966666666667,3.0
France,2010,12,0.6348387096774195,0.0
France,2011,1,5.887419354838709,2.0
France,2011,2,8.93857142857143,0.0
France,2011,3,13.393870967741933,3.0
France,2011,4,19.360999999999997,15.0
France,2011,5,20.826129032258073,2.0
France,2011,6,22.099333333333334,3.0
France,2011,7,22.219354838709677,0.0
France,2011,8,24.043870967741938,0.0
France,2011,9,22.936000000000003,5.0
France,2011,10,17.922258064516125,5.0
France,2011,11,12.84,5.0
France,2011,12,8.856774193548388,0.0
France,2012,1,8.179032258064517,0.0
France,2012,2,4.857931034482759,2.0
France,2012,3,14.80451612903226,11.0
France,2012,4,13.100333333333332,0.0
France,2012,5,19.64451612903226,7.0
France,2012,6,20.813,2.0
France,2012,7,22.636774193548387,2.0
France,2012,8,25.723225806451612,3.0
France,2012,9,20.797333333333334,2.0
France,2012,10,15.923870967741934,0.0
France,2012,11,9.600333333333333,0.0
France,2012,12,7.465483870967744,2.0
France,2013,1,4.680967741935484,0.0
France,2013,2,5.093571428571428,0.0
France,2013,3,8.353870967741939,0.0
France,2013,4,13.899666666666667,2.0
France,2013,5,15.517741935483874,0.0
France,2013,6,20.559000000000005,0.0
France,2013,7,25.89838709677419,2.0
France,2013,8,24.047741935483874,2.0
France,2013,9,20.926333333333332,2.0
France,2013,10,17.27032258064516,3.0
France,2013,11,9.164666666666667,2.0
France,2013,12,7.682903225806452,0.0
France,2014,1,8.330645161290322,5.0
France,2014,2,9.7675,0.0
France,2014,3,14.061290322580646,8.0
France,2014,4,16.36466666666666,0.0
France,2014,5,17.662580645161288,0.0
France,2014,6,21.528666666666666,0.0
France,2014,7,23.797419354838713,2.0
France,2014,8,21.184193548387096,0.0
France,2014,9,22.143666666666668,0.0
France,2014,10,17.917741935483875,6.0
France,2014,11,12.124666666666666,2.0
France,2014,12,6.813870967741935,2.0
France,2015,1,6.3174193548387105,2.0
France,2015,2,6.680357142857142,0.0
France,2015,3,11.883548387096774,0.0
France,2015,4,16.69966666666667,2.0
France,2015,5,18.055806451612895,0.0
France,2015,6,22.737333333333343,0.0
France,2015,7,25.814516129032263,2.0
France,2015,8,25.400967741935485,0.0
France,2015,9,19.252999999999997,0.0
France,2015,10,15.460967741935482,0.0
France,2015,11,13.361666666666666,13.0
France,2015,12,10.65870967741935,12.0
France,2016,1,7.242903225806452,0.0
France,2016,2,8.566206896551723,0.0
France,2016,3,10.24258064516129,0.0
France,2016,4,13.642666666666667,0.0
France,2016,5,18.474193548387095,0.0
France,2016,6,20.70966666666667,2.0
France,2016,7,23.733225806451618,0.0
France,2016,8,25.05806451612903,5.0
France,2016,9,23.01333333333333,5.0
France,2016,10,15.371935483870969,0.0
France,2016,11,9.819999999999999,0.0
France,2016,12,6.5277419354838715,0.0
France,2017,1,3.587096774193549,0.0
France,2017,2,9.800714285714287,2.0
France,2017,3,14.178064516129032,6.0
France,2017,4,15.193000000000001,0.0
France,2017,5,20.272258064516134,7.0
France,2017,6,24.672999999999995,5.0
France,2017,7,24.6583870967742,3.0
France,2017,8,24.229999999999997,0.0
France,2017,9,19.273,0.0
France,2017,10,18.228709677419353,5.0
France,2017,11,10.528666666666664,2.0
France,2017,12,7.032258064516129,2.0
France,2018,1,9.078387096774195,3.0
France,2018,2,4.208928571428572,0.0
France,2018,3,10.283225806451615,2.0
France,2018,4,17.434,6.0
France,2018,5,20.785161290322584,5.0
France,2018,6,22.984666666666673,2.0
France,2018,7,27.02290322580645,4.0
France,2018,8,25.946129032258074,5.0
France,2018,9,22.574666666666666,4.0
France,2018,10,18.1541935483871,11.0
France,2018,11,10.445666666666666,2.0
France,2018,12,8.281935483870969,10.0
France,2019,1,5.471290322580644,0.0
France,2019,2,11.231428571428571,13.0
France,2019,3,13.206451612903223,3.0
France,2019,4,15.951,6.0
France,2019,5,17.522903225806452,0.0
France,2019,6,23.79233333333333,10.0
France,2019,7,27.26806451612903,7.0
France,2019,8,25.81064516129032,3.0
France,2019,9,22.524000000000004,3.0
France,2019,10,16.583870967741937,3.0
France,2019,11,9.840666666666667,0.0
France,2019,12,8.538387096774194,2.0
France,2020,1,8.084193548387097,6.0
France,2020,2,11.201379310344828,8.0
France,2020,3,12.143548387096772,3.0
France,2020,4,19.182666666666663,12.0
France,2020,5,19.846129032258062,2.0
France,2020,6,21.99233333333333,4.0
France,2020,7,25.375483870967745,2.0
France,2020,8,27.317419354838716,8.0
France,2020,9,23.808999999999994,14.0
France,2020,10,15.447419354838708,0.0
France,2020,11,12.773333333333335,8.0
France,2020,12,7.725161290322579,3.0
France,2021,1,5.883548387096774,0.0
France,2021,2,9.108928571428573,8.0
France,2021,3,12.514193548387095,3.0
France,2021,4,13.548000000000004,0.0
France,2021,5,-275.96999999999997,0.0
Greece,2000,1,10.28677419354839,0.0
Greece,2000,2,12.777931034482759,0.0
Greece,2000,3,14.747096774193551,2.0
Greece,2000,4,19.307999999999996,8.0
Greece,2000,5,23.098064516129032,2.0
Greece,2000,6,26.980666666666668,3.0
Greece,2000,7,30.88806451612903,10.0
Greece,2000,8,29.02032258064516,0.0
Greece,2000,9,26.664999999999996,7.0
Greece,2000,10,21.23967741935484,0.0
Greece,2000,11,19.953333333333333,13.0
Greece,2000,12,15.064516129032256,2.0
Greece,2001,1,13.431612903225808,5.0
Greece,2001,2,13.708571428571428,4.0
Greece,2001,3,17.658709677419356,15.0
Greece,2001,4,17.927,5.0
Greece,2001,5,22.024193548387096,4.0
Greece,2001,6,27.257666666666676,0.0
Greece,2001,7,30.630000000000003,4.0
Greece,2001,8,29.919354838709666,2.0
Greece,2001,9,27.897666666666666,5.0
Greece,2001,10,23.517419354838704,7.0
Greece,2001,11,17.323666666666664,2.0
Greece,2001,12,11.301935483870968,0.0
Greece,2002,1,11.597741935483873,4.0
Greece,2002,2,14.831785714285715,5.0
Greece,2002,3,15.332258064516125,9.0
Greece,2002,4,17.229333333333333,0.0
Greece,2002,5,22.13,0.0
Greece,2002,6,27.002666666666666,0.0
Greece,2002,7,30.618387096774196,2.0
Greece,2002,8,29.723870967741938,6.0
Greece,2002,9,25.663999999999998,0.0
Greece,2002,10,22.62354838709677,0.0
Greece,2002,11,18.829999999999995,2.0
Greece,2002,12,13.339032258064515,2.0
Greece,2003,1,13.941612903225804,5.0
Greece,2003,2,8.821071428571427,0.0
Greece,2003,3,12.381290322580645,0.0
Greece,2003,4,15.545000000000003,0.0
Greece,2003,5,22.991935483870968,0.0
Greece,2003,6,27.854666666666674,4.0
Greece,2003,7,30.47612903225807,2.0
Greece,2003,8,30.479999999999997,5.0
Greece,2003,9,26.110999999999997,2.0
Greece,2003,10,23.524838709677425,2.0
Greece,2003,11,17.824,4.0
Greece,2003,12,13.683870967741933,2.0
Greece,2004,1,11.730645161290324,0.0
Greece,2004,2,12.971034482758622,6.0
Greece,2004,3,14.49483870967742,0.0
Greece,2004,4,17.273,0.0
Greece,2004,5,21.05870967741935,0.0
Greece,2004,6,26.936333333333334,0.0
Greece,2004,7,29.207741935483874,2.0
Greece,2004,8,30.045806451612908,0.0
Greece,2004,9,26.18266666666667,0.0
Greece,2004,10,23.375483870967745,4.0
Greece,2004,11,18.16433333333333,6.0
Greece,2004,12,15.08064516129032,4.0
Greece,2005,1,12.91451612903226,0.0
Greece,2005,2,11.697857142857142,0.0
Greece,2005,3,14.801612903225807,6.0
Greece,2005,4,17.419999999999998,3.0
Greece,2005,5,22.65387096774193,0.0
Greece,2005,6,26.039666666666665,0.0
Greece,2005,7,29.99645161290323,4.0
Greece,2005,8,30.060322580645156,5.0
Greece,2005,9,26.381999999999998,0.0
Greece,2005,10,21.113870967741935,0.0
Greece,2005,11,17.23,0.0
